Date	Price	Open	High	Low	Change %
Mar 29, 2019	-0.543	-0.550	-0.499	-0.550	7.95%
Mar 28, 2019	-0.503	-0.543	-0.489	-0.545	0.20%
Mar 27, 2019	-0.502	-0.492	-0.492	-0.547	-5.99%
Mar 26, 2019	-0.534	-0.534	-0.491	-0.544	-0.74%
Mar 25, 2019	-0.538	-0.559	-0.494	-0.561	-3.76%
Mar 22, 2019	-0.559	-0.559	-0.515	-0.561	7.71%
Mar 21, 2019	-0.519	-0.516	-0.508	-0.519	0.19%
Mar 20, 2019	-0.518	-0.536	-0.511	-0.566	-0.58%
Mar 19, 2019	-0.521	-0.559	-0.511	-0.569	-5.44%
Mar 18, 2019	-0.551	-0.571	-0.509	-0.571	6.99%
Mar 15, 2019	-0.515	-0.562	-0.515	-0.562	0.19%
Mar 14, 2019	-0.514	-0.562	-0.510	-0.562	-7.72%
Mar 13, 2019	-0.557	-0.548	-0.508	-0.559	2.01%
Mar 12, 2019	-0.546	-0.546	-0.498	-0.551	8.76%
Mar 11, 2019	-0.502	-0.555	-0.498	-0.557	-8.89%
Mar 08, 2019	-0.551	-0.558	-0.507	-0.558	8.25%
Mar 07, 2019	-0.509	-0.554	-0.504	-0.560	-0.59%
Mar 06, 2019	-0.512	-0.540	-0.496	-0.557	2.81%
Mar 05, 2019	-0.498	-0.536	-0.494	-0.541	-8.29%
Mar 04, 2019	-0.543	-0.538	-0.491	-0.546	10.14%
Mar 01, 2019	-0.493	-0.539	-0.489	-0.541	-7.68%
Feb 28, 2019	-0.534	-0.543	-0.529	-0.546	0.56%
Feb 27, 2019	-0.531	-0.542	-0.529	-0.544	-2.39%
Feb 26, 2019	-0.544	-0.550	-0.536	-0.550	0.37%
Feb 25, 2019	-0.542	-0.558	-0.542	-0.561	-2.87%
Feb 22, 2019	-0.558	-0.550	-0.547	-0.559	1.64%
Feb 21, 2019	-0.549	-0.549	-0.546	-0.561	-0.18%
Feb 20, 2019	-0.550	-0.546	-0.544	-0.557	0.55%
Feb 19, 2019	-0.547	-0.540	-0.538	-0.550	1.30%
Feb 18, 2019	-0.540	-0.543	-0.537	-0.546	0.37%
Feb 15, 2019	-0.538	-0.541	-0.534	-0.543	-0.55%
Feb 14, 2019	-0.541	-0.538	-0.530	-0.544	1.12%
Feb 13, 2019	-0.535	-0.527	-0.523	-0.535	0.94%
Feb 12, 2019	-0.530	-0.526	-0.507	-0.535	3.92%
Feb 11, 2019	-0.510	-0.523	-0.501	-0.546	-5.38%
Feb 08, 2019	-0.539	-0.539	-0.514	-0.539	3.06%
Feb 07, 2019	-0.523	-0.530	-0.520	-0.543	-0.76%
Feb 06, 2019	-0.527	-0.535	-0.527	-0.535	-0.94%
Feb 05, 2019	-0.532	-0.547	-0.524	-0.547	-1.12%
Feb 04, 2019	-0.538	-0.558	-0.524	-0.558	-2.00%
Feb 01, 2019	-0.549	-0.527	-0.524	-0.552	0.55%
Jan 31, 2019	-0.546	-0.530	-0.527	-0.549	0.55%
Jan 30, 2019	-0.543	-0.545	-0.527	-0.549	-1.27%
Jan 29, 2019	-0.550	-0.558	-0.537	-0.563	0.00%
Jan 28, 2019	-0.550	-0.571	-0.500	-0.596	-4.35%
Jan 25, 2019	-0.575	-0.575	-0.570	-0.580	-0.35%
Jan 24, 2019	-0.577	-0.604	-0.569	-0.604	-0.52%
Jan 23, 2019	-0.580	-0.589	-0.570	-0.589	-1.02%
Jan 22, 2019	-0.586	-0.579	-0.567	-0.586	2.99%
Jan 21, 2019	-0.569	-0.583	-0.567	-0.583	-1.56%
Jan 18, 2019	-0.578	-0.573	-0.564	-0.592	0.17%
Jan 17, 2019	-0.577	-0.588	-0.566	-0.604	0.70%
Jan 16, 2019	-0.573	-0.597	-0.573	-0.602	-3.86%
Jan 15, 2019	-0.596	-0.607	-0.586	-0.618	-3.09%
Jan 14, 2019	-0.615	-0.600	-0.591	-0.615	3.36%
Jan 11, 2019	-0.595	-0.597	-0.593	-0.614	-1.98%
Jan 10, 2019	-0.607	-0.596	-0.585	-0.607	-0.49%
Jan 09, 2019	-0.610	-0.616	-0.587	-0.622	-1.77%
Jan 08, 2019	-0.621	-0.603	-0.601	-0.623	2.48%
Jan 07, 2019	-0.606	-0.610	-0.602	-0.626	-0.49%
Jan 04, 2019	-0.609	-0.642	-0.600	-0.683	-7.02%
Jan 03, 2019	-0.655	-0.739	-0.630	-0.739	-21.08%
Jan 02, 2019	-0.830	-0.849	-0.830	-0.854	-2.24%
Jan 01, 2019	-0.849	-0.849	-0.849	-0.849	0.47%
Dec 31, 2018	-0.845	-0.865	-0.865	-0.865	-15.58%
Dec 28, 2018	-1.001	-1.001	-1.001	-1.001	1.32%
Dec 27, 2018	-0.988	-0.988	-0.988	-0.988	1.96%
Dec 25, 2018	-0.969	-0.969	-0.969	-0.969	0.31%
Dec 24, 2018	-0.966	-0.966	-0.966	-0.966	4.21%
Dec 21, 2018	-0.927	-0.936	-0.919	-0.936	11.42%
Dec 20, 2018	-0.832	-0.976	-0.832	-0.976	-1.19%
Dec 19, 2018	-0.842	-0.793	-0.793	-0.876	2.93%
Dec 18, 2018	-0.818	-0.818	-0.818	-0.818	5.55%
Dec 17, 2018	-0.775	-0.748	-0.673	-0.776	13.97%
Dec 14, 2018	-0.680	-0.757	-0.666	-0.786	-9.09%
Dec 13, 2018	-0.748	-0.740	-0.662	-0.768	6.86%
Dec 12, 2018	-0.700	-0.736	-0.652	-0.753	-4.24%
Dec 11, 2018	-0.731	-0.740	-0.648	-0.740	-0.95%
Dec 10, 2018	-0.738	-0.734	-0.648	-0.740	0.41%
Dec 07, 2018	-0.735	-0.714	-0.630	-0.741	3.38%
Dec 06, 2018	-0.711	-0.733	-0.621	-0.733	1.28%
Dec 05, 2018	-0.702	-0.698	-0.694	-0.710	-7.75%
Dec 04, 2018	-0.761	-0.758	-0.750	-0.764	0.79%
Dec 03, 2018	-0.755	-0.753	-0.735	-0.763	0.80%
Nov 30, 2018	-0.749	-0.775	-0.742	-0.780	-2.60%
Nov 29, 2018	-0.769	-0.791	-0.769	-0.791	-0.65%
Nov 28, 2018	-0.774	-0.778	-0.750	-0.784	0.13%
Nov 27, 2018	-0.773	-0.785	-0.768	-0.791	-2.15%
Nov 26, 2018	-0.790	-0.760	-0.748	-0.790	4.36%
Nov 23, 2018	-0.757	-0.737	-0.734	-0.780	1.88%
Nov 22, 2018	-0.743	-0.754	-0.624	-0.777	0.54%
Nov 21, 2018	-0.739	-0.748	-0.739	-0.753	0.82%
Nov 20, 2018	-0.733	-0.758	-0.666	-0.758	10.73%
Nov 19, 2018	-0.662	-0.743	-0.662	-0.766	-9.07%
Nov 16, 2018	-0.728	-0.687	-0.661	-0.774	-0.27%
Nov 15, 2018	-0.730	-0.730	-0.666	-0.769	1.25%
Nov 14, 2018	-0.721	-0.738	-0.645	-0.738	-0.83%
Nov 13, 2018	-0.727	-0.639	-0.639	-0.727	1.96%
Nov 12, 2018	-0.713	-0.728	-0.667	-0.742	-1.25%
Nov 09, 2018	-0.722	-0.740	-0.640	-0.744	-0.69%
Nov 08, 2018	-0.727	-0.766	-0.672	-0.770	-5.34%
Nov 07, 2018	-0.768	-0.785	-0.717	-0.793	-1.66%
Nov 06, 2018	-0.781	-0.788	-0.744	-0.794	-1.26%
Nov 05, 2018	-0.791	-0.807	-0.700	-0.822	-0.38%
